event,event_date,uncertainty,window,start,end,n_days,median,mean,ci95_low,ci95_high,ci90_low,ci90_high,p_lt_0,p_lt_minus_1pct,p_lt_minus_3pct,p_abs_lt_1pct
alaska,2024-01-08,predictive,"[0,0]",0,0,1,-0.0927924997131859,-0.09296597815489019,-0.12164347774070898,-0.06527029091848005,-0.11551138761151364,-0.07205438672485943,0.99975,0.999,0.99775,0.00075
alaska,2024-01-08,predictive,"[-1,+1]",-1,1,3,-0.0882973577724597,-0.08866432915134685,-0.13947508241031337,-0.04113480286260268,-0.12941470153669954,-0.050544197819594766,0.99875,0.9965,0.98825,0.003
alaska,2024-01-08,predictive,"[-3,+3]",-3,3,7,-0.12227956323078684,-0.12277512806273415,-0.19573358635565594,-0.048203998357618606,-0.1833957442143247,-0.0625215422023738,0.99775,0.9955,0.98975,0.0035
alaska,2024-01-08,predictive,"[0,+5]",0,5,6,-0.2212695060864701,-0.22167684898609655,-0.29038779619459276,-0.15299888495435518,-0.27944360454620926,-0.16576128407635515,1.0,1.0,1.0,0.0
alaska,2024-01-08,predictive,"[0,+10]",0,10,11,-0.18499550933944792,-0.18510009179376744,-0.2824581165123016,-0.0904869166817855,-0.26450581337763457,-0.1067248838277189,0.9995,0.999,0.998,0.00075
alaska,2024-01-08,parameter_only,"[0,0]",0,0,1,-0.09291242915318633,-0.09294314546578138,-0.09597865658450834,-0.0900717242791465,-0.09552000085498667,-0.09045876920804873,1.0,1.0,1.0,0.0
alaska,2024-01-08,parameter_only,"[-1,+1]",-1,1,3,-0.08866298621906758,-0.08868003686586635,-0.09402923787114824,-0.08343986356761948,-0.09316114386075997,-0.08426713251381891,1.0,1.0,1.0,0.0
alaska,2024-01-08,parameter_only,"[-3,+3]",-3,3,7,-0.12273992023293614,-0.12252269995673414,-0.13358879482776068,-0.11107320144698334,-0.13178724098128514,-0.11289369895208927,1.0,1.0,1.0,0.0
alaska,2024-01-08,parameter_only,"[0,+5]",0,5,6,-0.22152507816007483,-0.2214225659196353,-0.23107912455789156,-0.2116737094732852,-0.22971739464806168,-0.21311388610384577,1.0,1.0,1.0,0.0
alaska,2024-01-08,parameter_only,"[0,+10]",0,10,11,-0.1855589485553634,-0.18543305069164132,-0.20350682328724673,-0.16742203888447188,-0.20089692598119196,-0.17023165380805272,1.0,1.0,1.0,0.0
