window,uncertainty,p_alaska_lt_hearing,p_hearing_lt_netflix,p_alaska_lt_netflix,p_alaska_lt_hearing_lt_netflix
"[0,0]",predictive,0.997,0.89775,0.9995,0.89475
"[-1,+1]",predictive,0.9745,0.53425,0.97525,0.5105
"[-3,+3]",predictive,0.974,0.326,0.92825,0.30425
"[0,+5]",predictive,1.0,0.37375,0.9995,0.37375
"[0,+10]",predictive,0.9995,0.33125,0.99425,0.33075
"[0,0]",parameter_only,1.0,1.0,1.0,1.0
"[-1,+1]",parameter_only,1.0,0.63825,1.0,0.63825
"[-3,+3]",parameter_only,1.0,0.00325,1.0,0.00325
"[0,+5]",parameter_only,1.0,0.02425,1.0,0.02425
"[0,+10]",parameter_only,1.0,0.0285,1.0,0.0285
