event,specification,date,relative_day,observed_return,expected_return,abnormal_return
alaska,market_sector,2023-12-29,-5,0.0011906954151192,-0.0011930580954891098,0.0023837535106083097
alaska,market_sector,2024-01-02,-4,-0.0341441304006516,-0.005015026047051448,-0.02912910435360015
alaska,market_sector,2024-01-03,-3,-0.0311804536701857,-0.008143093253670023,-0.023037360416515676
alaska,market_sector,2024-01-04,-2,0.0042228640229278,-0.0039558541642058884,0.008178718187133689
alaska,market_sector,2024-01-05,-1,0.0165754777420032,0.0017421698295658154,0.014833307912437385
alaska,market_sector,2024-01-08,0,-0.0803212851405622,0.013320796777493635,-0.09364208191805584
alaska,market_sector,2024-01-09,1,-0.0141484956033364,-0.0036929663103163323,-0.010455529293020068
alaska,market_sector,2024-01-10,2,0.009213332218573,0.007840372040366824,0.001372960178206175
alaska,market_sector,2024-01-11,3,-0.0227352210280906,-0.003041235900512137,-0.019693985127578462
alaska,market_sector,2024-01-12,4,-0.0222761458380017,0.008302302981929084,-0.030578448819930784
alaska,market_sector,2024-01-16,5,-0.0789159068287254,-0.010148674903243254,-0.06876723192548215
alaska,market_sector,2024-01-17,6,0.0126670318771864,-0.005802440723387448,0.018469472600573848
alaska,market_sector,2024-01-18,7,0.0421057970774905,0.012018673805110978,0.030087123272379522
alaska,market_sector,2024-01-19,8,0.0161145676115201,0.007841960930569792,0.00827260668095031
alaska,market_sector,2024-01-22,9,-0.0004186196395271,0.0019577169350721273,-0.0023763365745992273
alaska,market_sector,2024-01-23,10,-0.0159586506893681,0.003243830997754653,-0.01920248168712275
alaska,market_only,2023-12-29,-5,0.0011906954151192,-0.003301880162162943,0.004492575577282143
alaska,market_only,2024-01-02,-4,-0.0341441304006516,-0.006152213750243735,-0.02799191665040786
alaska,market_only,2024-01-03,-3,-0.0311804536701857,-0.008521439871878252,-0.022659013798307447
alaska,market_only,2024-01-04,-2,0.0042228640229278,-0.00390723328360197,0.00813009730652977
alaska,market_only,2024-01-05,-1,0.0165754777420032,0.0013769217943321744,0.015198555947671026
alaska,market_only,2024-01-08,0,-0.0803212851405622,0.013736237989451686,-0.09405752313001389
alaska,market_only,2024-01-09,1,-0.0141484956033364,-0.001945583170452252,-0.012202912432884148
alaska,market_only,2024-01-10,2,0.009213332218573,0.0052391990401612805,0.003974133178411719
alaska,market_only,2024-01-11,3,-0.0227352210280906,-0.0011341176421438073,-0.021601103385946792
alaska,market_only,2024-01-12,4,-0.0222761458380017,0.0002960568417636894,-0.02257220267976539
alaska,market_only,2024-01-16,5,-0.0789159068287254,-0.004211927127985696,-0.0747039797007397
alaska,market_only,2024-01-17,6,0.0126670318771864,-0.006108281783258151,0.01877531366044455
alaska,market_only,2024-01-18,7,0.0421057970774905,0.008396465359355107,0.033709331718135394
alaska,market_only,2024-01-19,8,0.0161145676115201,0.011924797230177801,0.0041897703813423
alaska,market_only,2024-01-22,9,-0.0004186196395271,0.0017476718424625452,-0.002166291481989645
alaska,market_only,2024-01-23,10,-0.0159586506893681,0.002478884373754993,-0.01843753506312309
hearing,market_sector,2024-06-11,-5,-0.0243004167675251,-0.005485298778129113,-0.018815117989395988
hearing,market_sector,2024-06-12,-4,-0.0152560745609416,0.0028667270509632713,-0.01812280161190487
hearing,market_sector,2024-06-13,-3,-0.0107844815265237,-0.0047770516086299425,-0.006007429917893757
hearing,market_sector,2024-06-14,-2,-0.0189816974748687,-0.009681508555488565,-0.009300188919380134
hearing,market_sector,2024-06-17,-1,0.0063180182218876,0.006790154030375763,-0.00047213580848816297
hearing,market_sector,2024-06-18,0,-0.0190593301649042,0.0021230791073565715,-0.021182409272260772
hearing,market_sector,2024-06-20,1,0.0074861278785713,0.00020070309356822347,0.007285424785003077
hearing,market_sector,2024-06-21,2,0.001474727750059,-0.0022526426263412124,0.0037273703764002125
hearing,market_sector,2024-06-24,3,0.0143860929997969,-0.006997752785328647,0.021383845785125546
