event,event_date,specification,window,n_days,car
alaska,2024-01-08,market_sector,"[0,0]",1,-0.09364208191805584
alaska,2024-01-08,market_sector,"[-1,+1]",3,-0.08926430329863853
alaska,2024-01-08,market_sector,"[-3,+3]",7,-0.12244397047739279
alaska,2024-01-08,market_sector,"[0,+5]",6,-0.22176431690586113
alaska,2024-01-08,market_sector,"[0,+10]",11,-0.18651393261367943
alaska,2024-01-08,market_only,"[0,0]",1,-0.09405752313001389
alaska,2024-01-08,market_only,"[-1,+1]",3,-0.09106187961522702
alaska,2024-01-08,market_only,"[-3,+3]",7,-0.12321776631453976
alaska,2024-01-08,market_only,"[0,+5]",6,-0.22116358815093823
alaska,2024-01-08,market_only,"[0,+10]",11,-0.1850929989361287
hearing,2024-06-18,market_sector,"[0,0]",1,-0.021182409272260772
hearing,2024-06-18,market_sector,"[-1,+1]",3,-0.01436912029574586
hearing,2024-06-18,market_sector,"[-3,+3]",7,-0.004565522971493995
hearing,2024-06-18,market_sector,"[0,+5]",6,0.014110769146656363
hearing,2024-06-18,market_sector,"[0,+10]",11,0.05478480195329908
hearing,2024-06-18,market_only,"[0,0]",1,-0.019559606787729153
hearing,2024-06-18,market_only,"[-1,+1]",3,-0.006816777340084316
hearing,2024-06-18,market_only,"[-3,+3]",7,-0.01462875309457751
hearing,2024-06-18,market_only,"[0,+5]",6,0.007410354902673104
hearing,2024-06-18,market_only,"[0,+10]",11,0.038719081375692646
netflix,2026-08-19,market_sector,"[0,0]",1,0.005320602464802298
netflix,2026-08-19,market_sector,"[-1,+1]",3,-0.014816677375852714
netflix,2026-08-19,market_sector,"[-3,+3]",7,-0.03966045920668908
netflix,2026-08-19,market_sector,"[0,+5]",6,-0.011029603852729466
netflix,2026-08-19,market_sector,"[0,+10]",11,0.008532052432015786
netflix,2026-08-19,market_only,"[0,0]",1,-0.005650172379777666
netflix,2026-08-19,market_only,"[-1,+1]",3,-0.03126943596565441
netflix,2026-08-19,market_only,"[-3,+3]",7,-0.06309107059142777
netflix,2026-08-19,market_only,"[0,+5]",6,-0.04361827937693597
netflix,2026-08-19,market_only,"[0,+10]",11,-0.054218699706335687
theatrical,2026-08-14,market_sector,"[0,0]",1,9.555196205136667e-05
theatrical,2026-08-14,market_sector,"[-1,+1]",3,-0.017854920682003395
theatrical,2026-08-14,market_sector,"[-3,+3]",7,-0.03048851513097817
theatrical,2026-08-14,market_sector,"[0,+5]",6,-0.029349915318030665
theatrical,2026-08-14,market_sector,"[0,+10]",11,-0.044198543078582266
theatrical,2026-08-14,market_only,"[0,0]",1,0.00845287098094114
theatrical,2026-08-14,market_only,"[-1,+1]",3,-0.020051227058874663
theatrical,2026-08-14,market_only,"[-3,+3]",7,-0.03459122973870189
theatrical,2026-08-14,market_only,"[0,+5]",6,-0.04920580570727062
theatrical,2026-08-14,market_only,"[0,+10]",11,-0.07167429952510514
