event,event_date,specification,window,n_days,car,p_lower,p_two_sided,n_placebos
alaska,2024-01-08,market_sector,"[0,0]",1,-0.09364208191805584,0.0045045045045045045,0.0045045045045045045,221
alaska,2024-01-08,market_sector,"[-1,+1]",3,-0.08926430329863853,0.004545454545454545,0.01818181818181818,219
alaska,2024-01-08,market_sector,"[-3,+3]",7,-0.12244397047739279,0.004629629629629629,0.013888888888888888,215
alaska,2024-01-08,market_sector,"[0,+5]",6,-0.22176431690586113,0.004608294930875576,0.004608294930875576,216
alaska,2024-01-08,market_sector,"[0,+10]",11,-0.18651393261367943,0.0047169811320754715,0.0047169811320754715,211
alaska,2024-01-08,market_only,"[0,0]",1,-0.09405752313001389,0.0045045045045045045,0.0045045045045045045,221
alaska,2024-01-08,market_only,"[-1,+1]",3,-0.09106187961522702,0.004545454545454545,0.013636363636363636,219
alaska,2024-01-08,market_only,"[-3,+3]",7,-0.12321776631453976,0.004629629629629629,0.009259259259259259,215
alaska,2024-01-08,market_only,"[0,+5]",6,-0.22116358815093823,0.004608294930875576,0.004608294930875576,216
alaska,2024-01-08,market_only,"[0,+10]",11,-0.1850929989361287,0.0047169811320754715,0.0047169811320754715,211
hearing,2024-06-18,market_sector,"[0,0]",1,-0.021182409272260772,0.08108108108108109,0.15315315315315314,221
hearing,2024-06-18,market_sector,"[-1,+1]",3,-0.01436912029574586,0.2863636363636364,0.5727272727272728,219
hearing,2024-06-18,market_sector,"[-3,+3]",7,-0.004565522971493995,0.49537037037037035,0.9259259259259259,215
hearing,2024-06-18,market_sector,"[0,+5]",6,0.014110769146656363,0.6728110599078341,0.7096774193548387,216
hearing,2024-06-18,market_sector,"[0,+10]",11,0.05478480195329908,0.7924528301886793,0.3915094339622642,211
hearing,2024-06-18,market_only,"[0,0]",1,-0.019559606787729153,0.08558558558558559,0.17567567567567569,221
hearing,2024-06-18,market_only,"[-1,+1]",3,-0.006816777340084316,0.4318181818181818,0.8272727272727273,219
hearing,2024-06-18,market_only,"[-3,+3]",7,-0.01462875309457751,0.4166666666666667,0.7824074074074074,215
hearing,2024-06-18,market_only,"[0,+5]",6,0.007410354902673104,0.576036866359447,0.8894009216589862,216
hearing,2024-06-18,market_only,"[0,+10]",11,0.038719081375692646,0.7028301886792453,0.5943396226415094,211
netflix,2026-08-19,market_sector,"[0,0]",1,0.005320602464802298,0.6486486486486487,0.7117117117117117,221
netflix,2026-08-19,market_sector,"[-1,+1]",3,-0.014816677375852714,0.2727272727272727,0.5545454545454546,219
netflix,2026-08-19,market_sector,"[-3,+3]",7,-0.03966045920668908,0.18981481481481483,0.3611111111111111,215
netflix,2026-08-19,market_sector,"[0,+5]",6,-0.011029603852729466,0.3824884792626728,0.7511520737327189,216
netflix,2026-08-19,market_sector,"[0,+10]",11,0.008532052432015786,0.5849056603773585,0.8773584905660378,211
netflix,2026-08-19,market_only,"[0,0]",1,-0.005650172379777666,0.34684684684684686,0.6801801801801802,221
netflix,2026-08-19,market_only,"[-1,+1]",3,-0.03126943596565441,0.15,0.3181818181818182,219
netflix,2026-08-19,market_only,"[-3,+3]",7,-0.06309107059142777,0.12962962962962962,0.21296296296296297,215
netflix,2026-08-19,market_only,"[0,+5]",6,-0.04361827937693597,0.16129032258064516,0.34101382488479265,216
netflix,2026-08-19,market_only,"[0,+10]",11,-0.054218699706335687,0.19339622641509435,0.3915094339622642,211
theatrical,2026-08-14,market_sector,"[0,0]",1,9.555196205136667e-05,0.5180180180180181,1.0,221
theatrical,2026-08-14,market_sector,"[-1,+1]",3,-0.017854920682003395,0.2590909090909091,0.4909090909090909,219
theatrical,2026-08-14,market_sector,"[-3,+3]",7,-0.03048851513097817,0.22685185185185186,0.47685185185185186,215
theatrical,2026-08-14,market_sector,"[0,+5]",6,-0.029349915318030665,0.2304147465437788,0.45161290322580644,216
theatrical,2026-08-14,market_sector,"[0,+10]",11,-0.044198543078582266,0.22641509433962265,0.47641509433962265,211
theatrical,2026-08-14,market_only,"[0,0]",1,0.00845287098094114,0.7342342342342343,0.5495495495495496,221
theatrical,2026-08-14,market_only,"[-1,+1]",3,-0.020051227058874663,0.2636363636363636,0.5181818181818182,219
theatrical,2026-08-14,market_only,"[-3,+3]",7,-0.03459122973870189,0.24537037037037038,0.48148148148148145,215
theatrical,2026-08-14,market_only,"[0,+5]",6,-0.04920580570727062,0.14285714285714285,0.28110599078341014,216
theatrical,2026-08-14,market_only,"[0,+10]",11,-0.07167429952510514,0.10849056603773585,0.24528301886792453,211
