group,event,window,metric,target,actual,absolute_difference,tolerance,passed,reviewed,status,posterior_fingerprint_audit
bayesian,alaska,"[0,0]",median,-0.0929,-0.0927924997131859,0.00010750028681409673,0.0035,True,False,within_tolerance,not_applicable
bayesian,alaska,"[0,0]",ci95_low,-0.1202,-0.1216434777407089,0.0014434777407088956,0.0075,True,False,within_tolerance,not_applicable
bayesian,alaska,"[0,0]",ci95_high,-0.0656,-0.06527029091848,0.00032970908152001044,0.0075,True,False,within_tolerance,not_applicable
bayesian,alaska,"[0,0]",p_lt_0,1.0,0.99975,0.00024999999999997247,0.04,True,False,within_tolerance,not_applicable
bayesian,alaska,"[-1,+1]",median,-0.0885,-0.0882973577724597,0.00020264222754029504,0.0035,True,False,within_tolerance,not_applicable
bayesian,alaska,"[-1,+1]",ci95_low,-0.1372,-0.1394750824103133,0.0022750824103133227,0.0075,True,False,within_tolerance,not_applicable
bayesian,alaska,"[-1,+1]",ci95_high,-0.0424,-0.0411348028626026,0.0012651971373974016,0.0075,True,False,within_tolerance,not_applicable
bayesian,alaska,"[-1,+1]",p_lt_0,0.999,0.99875,0.00024999999999997247,0.04,True,False,within_tolerance,not_applicable
bayesian,alaska,"[0,+5]",median,-0.222,-0.2212695060864701,0.0007304939135298893,0.0035,True,False,within_tolerance,not_applicable
bayesian,alaska,"[0,+5]",ci95_low,-0.2878,-0.2903877961945927,0.0025877961945927064,0.0075,True,False,within_tolerance,not_applicable
bayesian,alaska,"[0,+5]",ci95_high,-0.1527,-0.1529988849543551,0.0002988849543550942,0.0075,True,False,within_tolerance,not_applicable
bayesian,hearing,"[0,0]",median,-0.0217,-0.0213003253556686,0.0003996746443313999,0.0035,True,False,within_tolerance,not_applicable
bayesian,hearing,"[0,0]",ci95_low,-0.0536,-0.0534385175985329,0.00016148240146710013,0.0075,True,False,within_tolerance,not_applicable
bayesian,hearing,"[0,0]",ci95_high,0.0116,0.0112374899736942,0.00036251002630579947,0.0075,True,False,within_tolerance,not_applicable
bayesian,hearing,"[0,0]",p_lt_0,0.922,0.92325,0.0012499999999999734,0.04,True,False,within_tolerance,not_applicable
bayesian,hearing,"[-1,+1]",median,-0.0151,-0.0155448739177813,0.000444873917781299,0.0035,True,False,within_tolerance,not_applicable
bayesian,hearing,"[-1,+1]",ci95_low,-0.0734,-0.071781503924222,0.001618496075778006,0.0075,True,False,within_tolerance,not_applicable
bayesian,hearing,"[-1,+1]",ci95_high,0.0432,0.0451757496259173,0.001975749625917296,0.0075,True,False,within_tolerance,not_applicable
bayesian,hearing,"[-1,+1]",p_lt_0,0.72,0.72275,0.00275000000000003,0.04,True,False,within_tolerance,not_applicable
bayesian,hearing,"[0,+5]",median,0.0126,0.0135882975011821,0.0009882975011821001,0.0035,True,False,within_tolerance,not_applicable
bayesian,netflix,"[0,0]",median,0.0059,0.0065292263043307,0.0006292263043307005,0.0035,True,False,within_tolerance,not_applicable
bayesian,netflix,"[0,0]",ci95_low,-0.0281,-0.0274096208806323,0.0006903791193677011,0.0075,True,False,within_tolerance,not_applicable
bayesian,netflix,"[0,0]",ci95_high,0.0387,0.0420972282873728,0.0033972282873728013,0.0075,True,False,within_tolerance,not_applicable
bayesian,netflix,"[0,0]",p_lt_0,0.339,0.32225,0.016750000000000043,0.04,True,False,within_tolerance,not_applicable
bayesian,netflix,"[-1,+1]",median,-0.0132,-0.0119664566369695,0.0012335433630305,0.0035,True,False,within_tolerance,not_applicable
bayesian,netflix,"[-1,+1]",ci95_low,-0.072,-0.0681581363851317,0.003841863614868296,0.0075,True,False,within_tolerance,not_applicable
bayesian,netflix,"[-1,+1]",ci95_high,0.0455,0.0470640655813027,0.0015640655813027038,0.0075,True,False,within_tolerance,not_applicable
bayesian,netflix,"[-1,+1]",p_lt_0,0.699,0.667,0.03199999999999992,0.04,True,False,within_tolerance,not_applicable
bayesian,netflix,"[0,+5]",median,-0.0079,-0.0061473143075336,0.0017526856924664005,0.0035,True,False,within_tolerance,not_applicable
bayesian,netflix,"[0,+5]",ci95_low,-0.0909,-0.0874097736574424,0.0034902263425575925,0.0075,True,False,within_tolerance,not_applicable
bayesian,netflix,"[0,+5]",ci95_high,0.0767,0.0771395146219224,0.00043951462192239055,0.0075,True,False,within_tolerance,not_applicable
bayesian,netflix,"[0,+5]",p_lt_0,0.584,0.563,0.02100000000000002,0.04,True,False,within_tolerance,not_applicable
bayesian,netflix,"[0,+10]",median,0.0141,0.0179562567879085,0.0038562567879084995,0.0035,False,True,reviewed_reference_difference,match
bayesian,theatrical,"[0,0]",median,0.0007,-0.0002694347103298,0.0009694347103298,0.0035,True,False,within_tolerance,not_applicable
bayesian,theatrical,"[-1,+1]",median,-0.0161,-0.0172188892409687,0.0011188892409687012,0.0035,True,False,within_tolerance,not_applicable
bayesian,theatrical,"[-3,+3]",median,-0.0282,-0.030047304036558,0.0018473040365580007,0.0035,True,False,within_tolerance,not_applicable
bayesian,theatrical,"[0,+5]",median,-0.0271,-0.0271745820767997,7.458207679970213e-05,0.0035,True,False,within_tolerance,not_applicable
bayesian,theatrical,"[0,+10]",median,-0.0401,-0.0393004846701706,0.0007995153298293936,0.0035,True,False,within_tolerance,not_applicable
comparison,three_primary_events,"[-1,+1]",p_alaska_lt_hearing,0.973,0.9745,0.0015000000000000568,0.04,True,False,within_tolerance,not_applicable
comparison,three_primary_events,"[-1,+1]",p_hearing_lt_netflix,0.524,0.53425,0.010249999999999981,0.04,True,False,within_tolerance,not_applicable
comparison,three_primary_events,"[-1,+1]",p_alaska_lt_netflix,0.975,0.97525,0.00024999999999997247,0.04,True,False,within_tolerance,not_applicable
comparison,three_primary_events,"[0,+5]",p_alaska_lt_hearing,1.0,1.0,0.0,0.04,True,False,within_tolerance,not_applicable
comparison,three_primary_events,"[0,+5]",p_hearing_lt_netflix,0.358,0.37375,0.015750000000000042,0.04,True,False,within_tolerance,not_applicable
comparison,three_primary_events,"[0,+5]",p_alaska_lt_netflix,1.0,0.9995,0.0004999999999999449,0.04,True,False,within_tolerance,not_applicable
volume,alaska,"[0,0]",volume_z,5.5,5.4950059226951415,0.0049940773048584575,0.15,True,False,within_tolerance,not_applicable
volume,hearing,"[0,0]",volume_z,0.02,0.0150852721252004,0.0049147278747996,0.15,True,False,within_tolerance,not_applicable
volume,netflix,"[0,0]",volume_z,-0.48,-0.4848243649147116,0.00482436491471161,0.15,True,False,within_tolerance,not_applicable
theatrical_interval,theatrical,"[0,0]",ci95_contains_zero,1.0,1.0,0.0,0.0,True,False,within_tolerance,not_applicable
theatrical_interval,theatrical,"[-1,+1]",ci95_contains_zero,1.0,1.0,0.0,0.0,True,False,within_tolerance,not_applicable
theatrical_interval,theatrical,"[-3,+3]",ci95_contains_zero,1.0,1.0,0.0,0.0,True,False,within_tolerance,not_applicable
theatrical_interval,theatrical,"[0,+5]",ci95_contains_zero,1.0,1.0,0.0,0.0,True,False,within_tolerance,not_applicable
theatrical_interval,theatrical,"[0,+10]",ci95_contains_zero,1.0,1.0,0.0,0.0,True,False,within_tolerance,not_applicable
