event,event_date,date,relative_day,ba_volume,volume_z,estimation_log_volume_mean,estimation_log_volume_sd
alaska,2024-01-08,2023-12-29,-5,3686600.0,-0.8913124223635289,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-02,-4,5815200.0,0.3203314452636835,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-03,-3,7219900.0,0.8955297354483897,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-04,-2,5170700.0,0.008050860692918096,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-05,-1,3849700.0,-0.7762264688185021,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-08,0,40730400.0,5.4950059226951415,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-09,1,20687500.0,3.694051080749191,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-10,2,12883700.0,2.435097009289647,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-11,3,11830500.0,2.2083789469165027,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-12,4,11285500.0,2.0830004597705654,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-16,5,35290000.0,5.113850175734181,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-17,6,20140100.0,3.6227599197659965,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-18,7,20046800.0,3.6104158991666395,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-19,8,14345400.0,2.7207911751554827,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-22,9,10760800.0,1.9564347405505587,15.455490231396073,0.3761588427801781
alaska,2024-01-08,2024-01-23,10,9076900.0,1.504026987680926,15.455490231396073,0.3761588427801781
hearing,2024-06-18,2024-06-11,-5,5010100.0,-0.40432312508250456,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-06-12,-4,5245200.0,-0.31267019916576144,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-06-13,-3,4201000.0,-0.7563512890580446,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-06-14,-2,5106000.0,-0.36642790091996225,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-06-17,-1,4790000.0,-0.49411324424875547,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-06-18,0,6179900.0,0.015085272125200415,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-06-20,1,5479300.0,-0.22540133385849118,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-06-21,2,8628200.0,0.6821011905214475,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-06-24,3,7388300.0,0.372034693316147,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-06-25,4,7434000.0,0.3843591548535792,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-06-26,5,6553900.0,0.13252214554865813,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-06-27,6,8199000.0,0.5801228266506907,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-06-28,7,5899900.0,-0.07758534617814224,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-07-01,8,9056700.0,0.7789733998075897,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-07-02,9,4110500.0,-0.7998776451585867,15.629264903963199,0.5003386115504285
hearing,2024-06-18,2024-07-03,10,2764800.0,-1.5924936192757102,15.629264903963199,0.5003386115504285
netflix,2026-08-19,2026-08-12,-5,3372800.0,-1.9783218940084797,15.748780540624056,0.3626946276579272
netflix,2026-08-19,2026-08-13,-4,2971400.0,-2.3276792542813762,15.748780540624056,0.3626946276579272
netflix,2026-08-19,2026-08-14,-3,2649100.0,-2.6442355354998877,15.748780540624056,0.3626946276579272
netflix,2026-08-19,2026-08-17,-2,5020300.0,-0.8816791465882482,15.748780540624056,0.3626946276579272
netflix,2026-08-19,2026-08-18,-1,4772500.0,-1.021243982668959,15.748780540624056,0.3626946276579272
netflix,2026-08-19,2026-08-19,0,5797500.0,-0.4848243649147116,15.748780540624056,0.3626946276579272
netflix,2026-08-19,2026-08-20,1,7860600.0,0.35454883237764034,15.748780540624056,0.3626946276579272
netflix,2026-08-19,2026-08-21,2,6233400.0,-0.2849450872893808,15.748780540624056,0.3626946276579272
netflix,2026-08-19,2026-08-24,3,7144100.0,0.09103211368199707,15.748780540624056,0.3626946276579272
netflix,2026-08-19,2026-08-25,4,4854600.0,-0.9742170042102818,15.748780540624056,0.3626946276579272
netflix,2026-08-19,2026-08-26,5,4365800.0,-1.2668192442458808,15.748780540624056,0.3626946276579272
netflix,2026-08-19,2026-08-27,6,4455700.0,-1.210621205204238,15.748780540624056,0.3626946276579272
netflix,2026-08-19,2026-08-28,7,4564100.0,-1.144347361788617,15.748780540624056,0.3626946276579272
